"country_code"	"meteorite_class"	"count"	"average_mass"	"max_mass"	"min_mass"	
"MNG"	"LL3-6"	"1"	"910.0"	"910.0"	"910.0"	
"MNG"	"L6"	"1"	"250.0"	"250.0"	"250.0"	
"MNG"	"H6"	"1"	"10000.0"	"10000.0"	"10000.0"	
"MNG"	"Iron, IAB complex"	"2"	"299750.0"	"582000.0"	"17500.0"	
"MNG"	"H5"	"1"	"25.9"	"25.9"	"25.9"	
"MNG"	"Iron, IIIAB"	"1"	"44000.0"	"44000.0"	"44000.0"	
"MNG"	"Iron, ungrouped"	"1"	"166800.0"	"166800.0"	"166800.0"	
"MNG"	"Stone-uncl"	"1"	"173000.0"	"173000.0"	"173000.0"	
"FRA"	"H5"	"11"	"18218.91"	"149000.0"	"44.0"	
"FRA"	"CI1"	"2"	"10000.0"	"14000.0"	"6000.0"	
"FRA"	"Eucrite-mmict"	"4"	"26138.0"	"91000.0"	"252.0"	
"FRA"	"L6"	"21"	"7642.11"	"37000.0"	"65.0"	
"FRA"	"H6"	"8"	"14949.84"	"80000.0"	"41.0"	
"FRA"	"Aubrite"	"1"	"800.0"	"800.0"	"800.0"	
"FRA"	"L5"	"5"	"12803.8"	"50000.0"	"19.0"	
"FRA"	"Martian (chassignite)"	"1"	"4000.0"	"4000.0"	"4000.0"	
"FRA"	"LL6"	"3"	"135433.33"	"271000.0"	"8300.0"	
"FRA"	"H3-6"	"1"	"9000.0"	"9000.0"	"9000.0"	
"FRA"	"CO3.5"	"1"	"51700.0"	"51700.0"	"51700.0"	
"FRA"	"Howardite"	"1"	"780.0"	"780.0"	"780.0"	
"FRA"	"H3-5"	"1"	"14000.0"	"14000.0"	"14000.0"	
"FRA"	"Stone-uncl"	"1"	"17000.0"	"17000.0"	"17000.0"	
"FRA"	"CO3.4"	"1"	"6000.0"	"6000.0"	"6000.0"	
"FRA"	"EH5"	"1"	"14000.0"	"14000.0"	"14000.0"	
"FRA"	"H4"	"3"	"6380.0"	"14000.0"	"180.0"	
